STD_YYYYMM,SIDO,GEN,AGG,CNT,CNT_SUM,AVG_PM2.5
201612,대전광역시,1,0,435,99692,25.0
201701,대전광역시,1,0,388,57954,26.0
201702,대전광역시,1,0,501,59879,24.0
201703,대전광역시,1,0,622,84086,29.0
201704,대전광역시,1,0,493,80877,22.0
201705,대전광역시,1,0,439,58837,21.0
201706,대전광역시,1,0,415,45103,21.0
201707,대전광역시,1,0,374,40242,17.0
201708,대전광역시,1,0,463,56801,11.0
201709,대전광역시,1,0,555,91070,18.0
201710,대전광역시,1,0,533,66432,15.0
201711,대전광역시,1,0,523,86742,24.0
201712,대전광역시,1,0,366,96288,25.0
201801,대전광역시,1,0,399,86924,30.0
201802,대전광역시,1,0,478,56996,28.0
201803,대전광역시,1,0,642,74747,27.0
201804,대전광역시,1,0,461,81973,23.0
201805,대전광역시,1,0,358,57098,19.0
201806,대전광역시,1,0,362,42199,19.0
201807,대전광역시,1,0,396,39442,14.0
201808,대전광역시,1,0,354,42928,11.0
201809,대전광역시,1,0,603,86826,11.0
201810,대전광역시,1,0,608,83421,17.0
201811,대전광역시,1,0,421,80095,34.0
201812,대전광역시,1,0,326,88135,27.0
201901,대전광역시,1,0,292,59179,34.0
201902,대전광역시,1,0,422,52505,36.0
201903,대전광역시,1,0,562,74622,39.0
201904,대전광역시,1,0,412,81356,16.0
201905,대전광역시,1,0,383,62134,22.0
201906,대전광역시,1,0,317,41138,18.0
201907,대전광역시,1,0,367,43807,14.0
201908,대전광역시,1,0,408,46079,15.0
201909,대전광역시,1,0,518,83643,12.0
201910,대전광역시,1,0,412,81832,15.0
201911,대전광역시,1,0,311,73990,21.0
201912,대전광역시,1,0,335,82257,25.0
202001,대전광역시,1,0,266,78353,25.0
202002,대전광역시,1,0,225,45576,23.0
202003,대전광역시,1,0,127,27960,20.0
202004,대전광역시,1,0,250,28528,17.0
202005,대전광역시,1,0,907,41978,16.0
202006,대전광역시,1,0,489,34699,19.0
202007,대전광역시,1,0,136,25662,9.0
202008,대전광역시,1,0,494,33056,10.0
202009,대전광역시,1,0,256,52603,12.0
202010,대전광역시,1,0,648,49586,18.0
202011,대전광역시,1,0,550,44848,20.0
202012,대전광역시,1,0,190,32197,20.0
202101,대전광역시,1,0,170,24473,18.0
202102,대전광역시,1,0,388,27817,21.0
202103,대전광역시,1,0,860,44704,23.0
202104,대전광역시,1,0,438,50668,15.0
202105,대전광역시,1,0,296,33265,18.0
202106,대전광역시,1,0,301,31210,18.0
202107,대전광역시,1,0,203,26770,9.0
202108,대전광역시,1,0,218,27754,
202109,대전광역시,1,0,720,58670,8.0
202110,대전광역시,1,0,528,54952,15.0
202111,대전광역시,1,0,346,64388,19.0
202112,대전광역시,1,0,233,36776,21.0
202201,대전광역시,1,0,388,42645,25.0
202202,대전광역시,1,0,225,50491,24.0
202203,대전광역시,1,0,276,69846,24.0
202204,대전광역시,1,0,578,60608,18.0
202205,대전광역시,1,0,348,39922,15.0
202206,대전광역시,1,0,298,33690,10.0
202207,대전광역시,1,0,221,42863,12.0
202208,대전광역시,1,0,225,52030,8.0
202209,대전광역시,1,0,340,65725,10.0
202210,대전광역시,1,0,312,64623,14.0
202211,대전광역시,1,0,216,63286,24.0
202212,대전광역시,1,0,190,66969,21.0
201501,울산광역시,1,0,482,50576,27.0
