STD_YYYYMM,SIDO,비염환자수,심근경색,아토피환자수,천식환자수,뇌졸증
202104,대구광역시,98425,219.0,7076,6857,665.0
202105,대구광역시,51546,216.0,6336,4914,716.0
202106,대구광역시,43754,235.0,6949,3996,628.0
202107,대구광역시,41890,220.0,7387,3624,696.0
202108,대구광역시,46539,213.0,7185,3422,610.0
202109,대구광역시,84660,234.0,7037,4885,559.0
202111,대구광역시,101131,222.0,6311,7106,691.0
202112,대구광역시,61273,223.0,6562,5001,590.0
201401,인천광역시,144383,95.0,8852,20236,341.0
201402,인천광역시,173729,100.0,8824,24961,309.0
201403,인천광역시,127679,100.0,9368,20346,320.0
201404,인천광역시,128607,126.0,9827,22697,293.0
201405,인천광역시,104751,88.0,10964,18360,332.0
201406,인천광역시,77148,74.0,10457,13611,296.0
201407,인천광역시,85324,104.0,11310,13940,299.0
201408,인천광역시,98588,99.0,10507,14120,284.0
201409,인천광역시,159038,84.0,10119,18606,272.0
201411,인천광역시,158124,88.0,8238,21874,300.0
201412,인천광역시,137639,111.0,8912,20812,360.0
201501,인천광역시,120861,118.0,8822,16756,328.0
201502,인천광역시,126290,123.0,8071,16599,328.0
201503,인천광역시,158818,115.0,10188,19866,387.0
201504,인천광역시,134782,109.0,9481,18818,364.0
201505,인천광역시,106502,110.0,10792,16549,365.0
201506,인천광역시,74770,84.0,8836,11446,343.0
201507,인천광역시,72888,113.0,10549,11372,361.0
201508,인천광역시,96541,100.0,11074,13193,353.0
201509,인천광역시,168547,109.0,9282,18080,384.0
201511,인천광역시,146243,127.0,7578,19606,332.0
201512,인천광역시,170841,121.0,8763,24903,368.0
201601,인천광역시,138702,133.0,8675,18566,350.0
201602,인천광역시,138064,140.0,8477,19240,384.0
201603,인천광역시,154228,149.0,9370,20920,413.0
201604,인천광역시,136185,147.0,9312,19599,435.0
201605,인천광역시,113232,134.0,10489,17052,409.0
201606,인천광역시,86491,101.0,9780,12593,423.0
201607,인천광역시,84807,116.0,10272,11876,454.0
201608,인천광역시,104678,125.0,11492,13944,417.0
201609,인천광역시,151358,130.0,9008,16956,435.0
201611,인천광역시,157997,147.0,8396,21563,430.0
201612,인천광역시,200654,154.0,7746,23556,466.0
201701,인천광역시,109740,157.0,8364,14660,492.0
201702,인천광역시,115955,121.0,8340,14358,398.0
201703,인천광역시,166337,156.0,9386,19415,440.0
201704,인천광역시,147978,160.0,9148,19077,453.0
201705,인천광역시,118252,158.0,10900,15957,487.0
201706,인천광역시,89939,156.0,10002,11857,448.0
201707,인천광역시,85052,125.0,10632,10999,467.0
