Unnamed: 0,지역명,측정소명,주소,위도,경도,광역시도,시군구,구읍,중복확인
342,경북,대가야읍,경북 고령군 대가야읍 성산로 46 고령배수지,35.7285208760864,128.287237210164,경상북도,고령군,대가야읍,고령
343,경북,대광동,경북 김천시 공단2길 30-22 평생교육원 별관 2층 옥상,36.1438650383261,128.137236276851,경상북도,김천시,공단2길,김천
346,경북,명륜동,경북 안동시 퇴계로 115 (명륜동) 안동시청 경민관 옥상,36.5681878023317,128.730260547553,경상북도,안동시,퇴계로,안동
347,경북,문경시,경북 문경시 시청2길 45 모전도서관 옥상 (모전동),36.5866740018493,128.186063186849,경상북도,문경시,시청2길,문경
348,경북,보덕동,경북 경주시 경감로 587-18 경주스마트미디어센터 지상,35.8357767555058,129.28727614942,경상북도,경주시,경감로,경주
349,경북,봉화군청,경상북도 봉화군 봉화읍 봉화로 1111 봉화군청 입구,36.8931441999373,128.732497602983,경상북도,봉화군,봉화읍,봉화
350,경북,상주시,경북 상주시 북천로 63 북문동주민센터,36.4290046812627,128.157794607217,경상북도,상주시,북천로,상주
353,경북,성주군,경상북도 성주군 성주읍 성주로 3258 성주군 별고을교육원 옥상,35.9174401963554,128.290225305247,경상북도,성주군,성주읍,성주
356,경북,안계면,경상북도 의성군 안계면 안계길 114 안계면사무소 옥상,36.3839839454585,128.440424053806,경상북도,의성군,안계면,의성
357,경북,양덕동,경상북도 포항시 북구 천마로 161 (양덕동) (장량동 다목적 구호소),36.091078338982,129.396686886952,경상북도,포항시,북구,포항 북구
359,경북,영덕읍,경북 영덕군 영덕읍 삼근길 6-7 영덕군민운동장 옆,36.4202732565252,129.363807917591,경상북도,영덕군,영덕읍,영덕
360,경북,영양군,경상북도 영양군 영양읍 군청길 37 영양군청 옥상,36.6673657743067,129.112662912903,경상북도,영양군,영양읍,영양
362,경북,영천시,경북 영천시 시청로 23 영천 별빛직장어린이집,35.9727869727179,128.937565208611,경상북도,영천시,시청로,영천
364,경북,예천군,경상북도 예천군 호명면 행복7길 25-4 예천군 통합관제센터 옥상,36.5767804910065,128.473240652207,경상북도,예천군,호명면,예천
367,경북,울릉읍,경북 울릉군 울릉읍 도동2길 65 울릉군민회관,37.4842386293895,130.905380975122,경상북도,울릉군,울릉읍,울릉
368,경북,울진군,경상북도 울진군 울진읍 읍내10길 19 울진읍사무소,36.9971890999169,129.403006041533,경상북도,울진군,울진읍,울진
375,경북,중방동,경북 경산시 중방동 708-5 남매로 158 경산시보건소 정신보건센터 2층,,,경상북도,경산시,중방동,경산
