SIDO,STD_YYYYMM,AVG_구리,구리_BAD,AVG_납,납_0.5BAD,납_BAD,AVG_니켈,니켈_BAD,AVG_망간,망간_BAD,AVG_비소,비소_BAD,AVG_철,철_BAD,AVG_카드뮴,카드뮴_BAD,AVG_크롬,크롬_BAD
전라북도,201706,0.0107,N,0.0165,N,N,0.001,N,0.0097,N,0.0012,N,0.1761,N,0.0009,Y,0.0019,N
전라남도,201706,0.0015,N,0.0224,N,Y,0.0019,N,0.01,N,0.0011,N,0.2162,N,0.0001,N,0.0006,N
경상북도,201706,0.0167,Y,0.023,N,Y,0.0054,Y,0.0402,Y,0.001,N,0.7896,Y,0.0001,N,0.0035,N
경상남도,201706,0.0045,N,0.0115,N,N,0.006,Y,0.0276,N,0.0046,Y,0.5213,N,0.0006,N,0.0055,Y
서울특별시,201707,0.0369,Y,0.0208,N,N,0.0032,N,0.0217,N,0.0026,N,0.4373,N,0.0009,Y,0.0031,N
부산광역시,201707,0.0156,N,0.0102,N,N,0.0092,Y,0.0412,Y,0.0065,Y,0.6647,Y,0.0003,N,0.0066,Y
대구광역시,201707,0.0102,N,0.0149,N,N,0.0028,N,0.0171,N,0.0012,N,0.304,N,0.0006,N,0.0045,Y
인천광역시,201707,0.0176,Y,0.0186,N,N,0.0051,Y,0.0204,N,0.0014,N,0.3904,N,0.0008,N,0.0029,N
광주광역시,201707,0.0028,N,0.0037,N,N,0.002,N,0.0036,N,0.0012,N,0.1246,N,0.0001,N,0.0017,N
대전광역시,201707,0.0089,N,0.0187,N,N,0.0025,N,0.0219,N,0.0018,N,0.305,N,0.0005,N,0.0022,N
울산광역시,201707,0.0156,N,0.0292,N,Y,0.0075,Y,0.029,N,0.0043,Y,0.5207,N,0.0018,Y,0.0036,Y
세종특별자치시,201707,0.0144,N,0.015,N,N,0.004,N,0.0235,N,0.0022,N,0.3681,N,0.0011,N,0.0037,N
경기도,201707,0.0502,Y,0.0315,N,Y,0.0064,Y,0.0289,N,0.0024,N,0.5928,Y,0.0023,Y,0.0062,Y
강원도,201707,0.0105,N,0.0111,N,N,0.0014,N,0.022,N,0.0035,N,0.3191,N,0.0007,N,0.0033,N
충청북도,201707,0.014,N,0.0118,N,N,0.002,N,0.0122,N,0.0017,N,0.3174,N,0.0006,N,0.0018,N
충청남도,201707,0.0065,N,0.0173,N,N,0.0028,N,0.0105,N,0.0014,N,0.1988,N,0.0059,Y,0.0014,N
전라북도,201707,0.0065,N,0.0038,N,N,0.0005,N,0.0316,Y,0.0011,N,0.0325,N,0.0002,N,0.0017,N
전라남도,201707,0.0002,N,0.0016,N,N,0.0009,N,0.0146,N,0.001,N,0.1389,N,0.0011,N,0.0002,N
경상북도,201707,0.0066,N,0.0224,N,Y,0.0062,Y,0.0459,Y,0.0008,N,0.6892,Y,0.0004,N,0.0065,Y
