,index,지역명,측정소명,주소,운영기관,설치년도,위도,경도,구
140,342,경북,대가야읍,경북 고령군 대가야읍 성산로 46 고령배수지,경상북도보건환경연구원,2019.0,35.7285208760864,128.287237210164,고령군
141,343,경북,대광동,경북 김천시 공단2길 30-22 평생교육원 별관 2층 옥상,경상북도보건환경연구원,2018.0,36.1438650383261,128.137236276851,김천시
142,346,경북,명륜동,경북 안동시 퇴계로 115 (명륜동) 안동시청 경민관 옥상,경상북도보건환경연구원,2018.0,36.5681878023317,128.730260547553,안동시
143,347,경북,문경시,경북 문경시 시청2길 45 모전도서관 옥상 (모전동),경상북도보건환경연구원,2019.0,36.5866740018493,128.186063186849,문경시
144,348,경북,보덕동,경북 경주시 경감로 587-18 경주스마트미디어센터 지상,경상북도보건환경연구원,2019.0,35.8357767555058,129.28727614942,경주시
145,349,경북,봉화군청,경상북도 봉화군 봉화읍 봉화로 1111 봉화군청 입구,경상북도보건환경연구원,2020.0,36.8931441999373,128.732497602983,봉화군
146,350,경북,상주시,경북 상주시 북천로 63 북문동주민센터,경상북도보건환경연구원,2017.0,36.4290046812627,128.157794607217,상주시
147,353,경북,성주군,경상북도 성주군 성주읍 성주로 3258 성주군 별고을교육원 옥상,경상북도보건환경연구원,2019.0,35.9174401963554,128.290225305247,성주군
148,356,경북,안계면,경상북도 의성군 안계면 안계길 114 안계면사무소 옥상,경상북도보건환경연구원,2021.0,36.3839839454585,128.440424053806,의성군
149,359,경북,영덕읍,경북 영덕군 영덕읍 삼근길 6-7 영덕군민운동장 옆,경상북도보건환경연구원,2019.0,36.4202732565252,129.363807917591,영덕군
150,360,경북,영양군,경상북도 영양군 영양읍 군청길 37 영양군청 옥상,경상북도보건환경연구원,2019.0,36.6673657743067,129.112662912903,영양군
151,362,경북,영천시,경북 영천시 시청로 23 영천 별빛직장어린이집,경상북도보건환경연구원,2018.0,35.9727869727179,128.937565208611,영천시
152,364,경북,예천군,경상북도 예천군 호명면 행복7길 25-4 예천군 통합관제센터 옥상,경상북도보건환경연구원,2019.0,36.5767804910065,128.473240652207,예천군
153,367,경북,울릉읍,경북 울릉군 울릉읍 도동2길 65 울릉군민회관,경상북도보건환경연구원,2019.0,37.4842386293895,130.905380975122,울릉군
154,368,경북,울진군,경상북도 울진군 울진읍 읍내10길 19 울진읍사무소,경상북도보건환경연구원,2018.0,36.9971890999169,129.403006041533,울진군
155,375,경북,중방동,경북 경산시 중방동 708-5 남매로 158 경산시보건소 정신보건센터 2층,경상북도보건환경연구원,2011.0,,,경산시
156,379,경북,청송읍,경상북도 청송군 청송읍 금월로 230 청송군 영농일자리지원센터 옥상,경상북도보건환경연구원,2020.0,36.4292838957887,129.056166944904,청송군
157,380,경북,칠곡군,경북 칠곡군 왜관읍 관문로1길 30 칠곡군 보건소 건강증진센터 옥상,경상북도보건환경연구원,2017.0,35.9907079722117,128.418640579472,칠곡군
158,384,경북,화양읍,경북 청도군 화양읍 도주관로 159 화양읍사무소 옥상,경상북도보건환경연구원,2020.0,35.6498335405724,128.70617635324,청도군
159,385,경남,가야읍,경남 함안군 가야읍 함안대로 505 가야읍행정복지센터 옥상,경상남도보건환경연구원,2018.0,35.2720010482262,128.408209469327,함안군
160,386,경남,거창읍,경상남도 거창군 거창읍 거함대로 3252 자전거교통안전교육장 옥상,경상남도보건환경연구원,2018.0,35.68121720007,127.917925520752,거창군
161,387,경남,경화동,경남 창원시 진해구 경화로16번길 31 (병암동주민센터),경상남도보건환경연구원,1994.0,35.1549770590788,128.68955776305,창원시진해구
162,389,경남,고현동,경상남도 거제시 계룡로 125 거제시청 옥상 (고현동),경상남도보건환경연구원,2020.0,34.8805543084654,128.62078918694,거제시
163,390,경남,금성면,경상남도 하동군 금성면 금성중앙길 14 금성꿈나무어린이집 옥상,경상남도보건환경연구원,2021.0,34.9659349097789,127.794167345231,하동군
164,391,경남,남해읍,경상남도 남해군 남해읍 남해대로 2745 남해유배문학관 옥상,경상남도보건환경연구원,2018.0,34.8319601067584,127.899185508281,남해군
165,392,경남,내서읍,경상남도 창원시 마산회원구 내서읍 광려로 8 삼계근린공원 지상,경상남도보건환경연구원,2020.0,35.2260903004507,128.503100300431,창원시마산회원구
166,393,경남,내일동,경상남도 밀양시 중앙로 346 내일동주민센터 (내일동),경상남도보건환경연구원,2017.0,35.4937053187812,128.754245873624,밀양시
167,394,경남,대안동,경남 진주시 진주대로 1052 (중소기업은행),경상남도보건환경연구원,1997.0,35.1935449603716,128.084513324679,진주시
168,395,경남,동상동,경남 김해시 호계로 517번길 8 (동상동 주민센터),경상남도보건환경연구원,1995.0,35.2368522491324,128.883457221191,김해시
